                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2583,                 2.6205,                 1.3156,                  0.815,                0.62147,                0.72575,                0.53442,                 1.0207,                 1.0945,                 1.1174,               0.070126,              0.0033193,              0.0033193
                      1,                 1.0342,                 1.1315,                 1.1525,                0.89149,                0.81899,                 0.8764,                0.62836,                 1.0604,                0.74642,                 1.1343,                0.04006,              0.0065868,              0.0065868
                      2,                 1.0244,                 0.9831,                 1.1483,                0.90693,                0.81248,                0.88057,                0.64756,                 1.0083,                0.72456,                 1.1162,              0.0099283,              0.0097883,              0.0097883
                      3,                 1.0297,                0.91723,                 1.1511,                0.88718,                0.83355,                0.89029,                0.61329,                 1.1353,                0.76257,                 1.1788,               0.009703,               0.009703,               0.009703
                      4,                 1.0031,                0.85569,                 1.1414,                0.93646,                 0.8867,                 0.9277,                0.67524,                 1.0061,                0.63792,                 1.1308,               0.009703,               0.009703,               0.009703
                      5,                0.96596,                 0.7873,                 1.1228,                0.92555,                0.91558,                0.94285,                 0.6637,                 1.1012,                0.58666,                 1.1708,               0.009604,               0.009604,               0.009604
                      6,                0.95092,                 0.7637,                 1.1176,                0.93961,                0.88205,                0.91926,                0.68615,                0.97531,                0.59784,                 1.1163,               0.009505,               0.009505,               0.009505
                      7,                0.94276,                 0.7462,                  1.115,                0.96837,                0.91876,                0.94175,                0.70641,                0.96211,                0.51376,                  1.104,               0.009406,               0.009406,               0.009406
                      8,                0.92496,                0.71342,                 1.1024,                0.90737,                0.93778,                0.94457,                0.67726,                 1.0657,                0.54393,                 1.1643,               0.009307,               0.009307,               0.009307
                      9,                0.91825,                 0.7067,                 1.0987,                0.94417,                0.92899,                0.93943,                0.71681,                0.92171,                0.49664,                 1.0922,               0.009208,               0.009208,               0.009208
                     10,                0.90271,                0.68081,                 1.0913,                0.95547,                0.91555,                0.94465,                0.69678,                0.99433,                 0.5145,                 1.1148,               0.009109,               0.009109,               0.009109
                     11,                0.89795,                0.67832,                 1.0878,                0.94867,                0.90384,                0.94184,                0.72443,                0.90862,                0.51594,                 1.0719,                0.00901,                0.00901,                0.00901
                     12,                0.88348,                0.66144,                 1.0812,                0.95906,                0.91131,                0.95159,                0.72304,                0.93637,                0.48623,                 1.0983,               0.008911,               0.008911,               0.008911
                     13,                 0.8774,                0.64366,                 1.0835,                0.97769,                0.96728,                0.98547,                0.74875,                0.96762,                0.46703,                 1.1043,               0.008812,               0.008812,               0.008812
                     14,                0.86757,                0.62963,                  1.078,                0.92649,                0.96244,                0.95586,                0.72342,                0.93715,                0.47069,                 1.1141,               0.008713,               0.008713,               0.008713
                     15,                0.86139,                0.62067,                  1.076,                0.96366,                0.92344,                0.95286,                0.71122,                0.98326,                0.46508,                 1.1096,               0.008614,               0.008614,               0.008614
                     16,                0.85721,                0.61996,                 1.0717,                0.96993,                0.91348,                0.94635,                0.72201,                0.93103,                0.45433,                 1.0947,               0.008515,               0.008515,               0.008515
                     17,                0.84392,                0.60181,                 1.0604,                0.97137,                0.94827,                 0.9862,                0.74976,                0.97831,                0.45524,                 1.1032,               0.008416,               0.008416,               0.008416
                     18,                0.84281,                0.59535,                 1.0642,                0.97565,                0.91142,                0.95122,                0.73993,                0.90072,                0.44268,                 1.0774,               0.008317,               0.008317,               0.008317
                     19,                0.83142,                0.58869,                 1.0596,                0.96471,                0.93766,                0.97453,                0.75008,                0.94013,                0.45021,                 1.0908,               0.008218,               0.008218,               0.008218
                     20,                0.82489,                0.57934,                 1.0541,                0.97508,                0.94988,                0.98818,                0.75397,                0.90703,                0.43467,                 1.0793,               0.008119,               0.008119,               0.008119
                     21,                0.82529,                0.58081,                 1.0548,                0.91856,                0.99046,                0.98971,                0.75432,                0.93168,                0.42934,                 1.0814,                0.00802,                0.00802,                0.00802
                     22,                0.81211,                 0.5708,                 1.0447,                 0.9655,                0.93571,                0.95097,                0.70916,                0.99571,                0.44058,                 1.1394,               0.007921,               0.007921,               0.007921
                     23,                0.81228,                0.55637,                 1.0443,                0.96353,                0.93684,                 0.9716,                0.76482,                0.86891,                 0.4207,                 1.0668,               0.007822,               0.007822,               0.007822
                     24,                0.80038,                0.55439,                  1.041,                0.96684,                0.95841,                0.97449,                0.74796,                 0.9294,                0.41952,                  1.111,               0.007723,               0.007723,               0.007723
                     25,                0.79906,                0.55007,                 1.0424,                0.97067,                0.97843,                0.98797,                0.76136,                0.90781,                  0.405,                 1.0826,               0.007624,               0.007624,               0.007624
                     26,                0.80045,                0.55104,                 1.0459,                0.96012,                0.96975,                0.97341,                 0.7586,                0.90243,                0.41563,                 1.0801,               0.007525,               0.007525,               0.007525
                     27,                 0.7916,                0.54304,                 1.0343,                0.91716,                0.97263,                0.97468,                0.76678,                0.85755,                0.41462,                 1.0742,               0.007426,               0.007426,               0.007426
                     28,                0.78434,                0.53324,                 1.0294,                0.96415,                0.97118,                0.98557,                 0.7705,                0.87765,                0.40249,                 1.0692,               0.007327,               0.007327,               0.007327
                     29,                0.78076,                0.52827,                 1.0346,                0.97905,                0.94548,                0.96356,                 0.7468,                0.91171,                0.39738,                  1.087,               0.007228,               0.007228,               0.007228
                     30,                0.77441,                0.52794,                 1.0299,                0.96059,                0.93513,                0.94888,                0.74076,                0.87331,                0.41324,                 1.0764,               0.007129,               0.007129,               0.007129
                     31,                0.77745,                0.52665,                 1.0264,                0.96597,                0.94197,                0.96182,                 0.7544,                 0.8686,                0.38814,                 1.0549,                0.00703,                0.00703,                0.00703
                     32,                0.77095,                0.52555,                 1.0276,                 0.9285,                0.97845,                  0.982,                0.74533,                0.96013,                0.40125,                 1.1063,               0.006931,               0.006931,               0.006931
                     33,                0.75962,                0.50473,                 1.0207,                0.97181,                0.93864,                0.95415,                0.76629,                0.82424,                0.37876,                  1.045,               0.006832,               0.006832,               0.006832
                     34,                0.76075,                0.50559,                 1.0201,                  0.969,                0.94323,                0.95868,                0.76382,                0.84141,                0.37814,                 1.0563,               0.006733,               0.006733,               0.006733
                     35,                0.75419,                0.50361,                 1.0216,                0.97449,                0.93727,                0.95069,                 0.7433,                0.86492,                 0.3906,                 1.0658,               0.006634,               0.006634,               0.006634
                     36,                0.75033,                0.50159,                 1.0207,                0.97024,                0.94562,                0.96525,                 0.7623,                0.85292,                0.37573,                 1.0589,               0.006535,               0.006535,               0.006535
                     37,                0.74974,                0.49163,                 1.0183,                0.97536,                0.94037,                0.96473,                0.74726,                0.92729,                0.38375,                 1.0817,               0.006436,               0.006436,               0.006436
                     38,                0.73714,                0.48721,                 1.0091,                0.95455,                0.97806,                0.97658,                0.77656,                0.84259,                0.37423,                 1.0605,               0.006337,               0.006337,               0.006337
                     39,                0.74052,                0.49005,                  1.011,                0.94587,                0.97957,                0.97552,                0.77597,                0.83318,                0.36583,                 1.0464,               0.006238,               0.006238,               0.006238
                     40,                0.73599,                0.49221,                 1.0113,                0.97538,                0.93947,                0.97756,                0.77474,                0.83013,                0.36934,                  1.051,               0.006139,               0.006139,               0.006139
                     41,                0.73274,                0.48272,                 1.0097,                0.97649,                0.94531,                0.95073,                0.74962,                0.88865,                0.37781,                 1.0712,                0.00604,                0.00604,                0.00604
                     42,                0.72323,                0.47588,                 1.0031,                0.97039,                0.96494,                0.97444,                0.78235,                0.82638,                0.37371,                 1.0565,               0.005941,               0.005941,               0.005941
                     43,                0.72348,                0.47562,                 1.0032,                0.97117,                0.94564,                0.96281,                0.78312,                0.78547,                0.35688,                 1.0322,               0.005842,               0.005842,               0.005842
                     44,                0.71997,                0.47925,                 1.0019,                0.97672,                0.94088,                0.95596,                0.75818,                0.87497,                 0.3776,                 1.0775,               0.005743,               0.005743,               0.005743
                     45,                0.71486,                0.46947,                 1.0015,                0.94795,                0.97875,                 0.9755,                0.78867,                0.79513,                0.34833,                  1.037,               0.005644,               0.005644,               0.005644
                     46,                0.71385,                0.46581,                 1.0009,                0.97374,                0.97124,                0.98589,                0.77648,                0.84774,                 0.3585,                 1.0571,               0.005545,               0.005545,               0.005545
                     47,                0.70535,                0.46128,                0.99203,                0.97695,                0.93922,                0.97132,                0.77482,                0.82652,                 0.3644,                 1.0556,               0.005446,               0.005446,               0.005446
                     48,                0.70504,                0.45891,                0.99664,                0.97475,                0.94151,                0.95044,                 0.7557,                0.86579,                0.36632,                 1.0692,               0.005347,               0.005347,               0.005347
                     49,                0.70243,                0.46317,                0.99451,                0.96983,                0.97456,                0.97733,                0.78004,                0.83565,                0.34771,                  1.046,               0.005248,               0.005248,               0.005248
                     50,                0.69774,                0.45726,                0.99519,                0.94844,                0.97796,                0.96356,                0.77413,                0.83274,                0.35159,                 1.0455,               0.005149,               0.005149,               0.005149
                     51,                0.69026,                0.44807,                0.98503,                0.97796,                 0.9436,                0.95204,                0.77231,                 0.8113,                0.34433,                 1.0335,                0.00505,                0.00505,                0.00505
                     52,                0.69176,                0.44863,                 0.9879,                0.97972,                0.94386,                0.95652,                0.77532,                0.80722,                0.34628,                 1.0375,               0.004951,               0.004951,               0.004951
                     53,                0.69006,                0.45501,                0.98901,                0.96989,                0.94598,                0.94987,                0.76674,                 0.8204,                0.35232,                  1.054,               0.004852,               0.004852,               0.004852
                     54,                0.68223,                0.44491,                0.98521,                0.98073,                0.94557,                0.94965,                0.77138,                0.82035,                0.34653,                 1.0418,               0.004753,               0.004753,               0.004753
                     55,                0.67779,                0.44093,                0.98205,                0.98151,                0.94687,                0.94832,                0.77527,                0.79335,                0.34107,                 1.0312,               0.004654,               0.004654,               0.004654
                     56,                0.67739,                 0.4413,                0.97892,                0.96069,                 0.9764,                0.96337,                0.78913,                0.78487,                0.33675,                 1.0304,               0.004555,               0.004555,               0.004555
                     57,                0.67197,                0.43777,                0.98334,                0.98034,                0.94434,                0.95133,                0.76311,                 0.8403,                0.34421,                  1.051,               0.004456,               0.004456,               0.004456
                     58,                0.67419,                0.43502,                0.97671,                0.97453,                0.94794,                0.97649,                 0.7884,                0.80952,                0.33815,                 1.0383,               0.004357,               0.004357,               0.004357
                     59,                0.66831,                0.43807,                0.97998,                0.98335,                0.94148,                 0.9549,                0.77635,                0.82237,                0.34236,                 1.0418,               0.004258,               0.004258,               0.004258
                     60,                0.65838,                0.42414,                0.97198,                0.98074,                0.94126,                0.95162,                 0.7806,                0.79684,                0.34224,                 1.0324,               0.004159,               0.004159,               0.004159
                     61,                 0.6598,                0.42681,                0.97538,                0.97875,                 0.9437,                0.95163,                0.77714,                 0.8059,                0.33481,                 1.0344,                0.00406,                0.00406,                0.00406
                     62,                0.66396,                0.42961,                0.97668,                0.93602,                0.99251,                0.96895,                0.78198,                0.83339,                0.34706,                 1.0474,               0.003961,               0.003961,               0.003961
                     63,                0.65647,                0.42631,                0.97491,                0.93306,                 0.9799,                 0.9644,                0.78646,                0.80134,                0.32982,                 1.0353,               0.003862,               0.003862,               0.003862
                     64,                0.65209,                0.42374,                0.97313,                0.96645,                0.97858,                0.98467,                0.80904,                0.79974,                0.32392,                 1.0324,               0.003763,               0.003763,               0.003763
                     65,                0.64571,                0.41737,                 0.9695,                0.98186,                0.95357,                0.96642,                0.79244,                0.77508,                 0.3261,                 1.0248,               0.003664,               0.003664,               0.003664
                     66,                 0.6402,                0.41635,                0.96696,                0.98341,                0.95475,                0.96559,                0.78614,                0.78995,                0.32807,                 1.0346,               0.003565,               0.003565,               0.003565
                     67,                0.63898,                0.41416,                0.96339,                 0.9806,                0.94613,                0.96156,                 0.7844,                0.79517,                0.32256,                 1.0368,               0.003466,               0.003466,               0.003466
                     68,                 0.6389,                0.41441,                0.96611,                0.97907,                0.94395,                0.95332,                 0.7761,                0.80041,                0.33058,                 1.0433,               0.003367,               0.003367,               0.003367
                     69,                0.63066,                0.41043,                0.96251,                0.98088,                0.95447,                0.96345,                0.79077,                0.78564,                  0.325,                 1.0345,               0.003268,               0.003268,               0.003268
                     70,                 0.6277,                0.40873,                0.96144,                0.97205,                0.94049,                0.95069,                0.77305,                0.80191,                0.33436,                 1.0385,               0.003169,               0.003169,               0.003169
                     71,                0.62636,                0.40853,                0.96065,                0.98575,                0.95612,                 0.9644,                0.78932,                0.79484,                0.32453,                 1.0401,                0.00307,                0.00307,                0.00307
                     72,                0.62113,                 0.4029,                0.96019,                0.94085,                0.98289,                0.97264,                 0.7965,                0.79601,                0.32141,                 1.0364,               0.002971,               0.002971,               0.002971
                     73,                0.62309,                0.40521,                0.95661,                0.98529,                0.95191,                 0.9689,                 0.7924,                0.79304,                 0.3272,                 1.0373,               0.002872,               0.002872,               0.002872
                     74,                0.61481,                0.39528,                0.95501,                0.96366,                0.98599,                0.97763,                0.79557,                0.79887,                0.32221,                 1.0317,               0.002773,               0.002773,               0.002773
                     75,                0.61579,                0.40198,                0.95771,                0.98026,                 0.9441,                0.95843,                0.78676,                0.77923,                0.32636,                 1.0341,               0.002674,               0.002674,               0.002674
                     76,                0.61301,                0.39681,                0.95432,                0.93905,                0.97854,                0.96393,                0.79232,                0.79013,                0.32175,                 1.0309,               0.002575,               0.002575,               0.002575
                     77,                0.60994,                0.39426,                 0.9516,                0.94925,                0.98059,                0.97809,                 0.8007,                0.78311,                0.31623,                 1.0297,               0.002476,               0.002476,               0.002476
                     78,                0.60102,                0.39183,                0.94856,                 0.9539,                0.97979,                0.97671,                0.79822,                0.78109,                0.32271,                 1.0317,               0.002377,               0.002377,               0.002377
                     79,                0.60577,                0.38943,                0.95217,                0.98423,                0.94711,                0.97812,                0.79968,                0.78556,                0.31751,                 1.0313,               0.002278,               0.002278,               0.002278
                     80,                  0.593,                0.37887,                0.94443,                0.96624,                0.97685,                0.97718,                0.79378,                0.79216,                0.32208,                 1.0384,               0.002179,               0.002179,               0.002179
                     81,                0.58908,                0.37892,                 0.9417,                0.95974,                0.97826,                0.97782,                0.79957,                0.77842,                0.31763,                 1.0331,                0.00208,                0.00208,                0.00208
                     82,                0.59133,                0.38408,                0.94585,                0.94687,                  0.979,                0.97732,                 0.7972,                 0.7818,                0.31705,                 1.0364,               0.001981,               0.001981,               0.001981
                     83,                0.58718,                0.38159,                0.94416,                0.93986,                0.98168,                0.98538,                0.80677,                0.76957,                 0.3127,                 1.0298,               0.001882,               0.001882,               0.001882
                     84,                 0.5836,                0.37729,                0.93913,                0.96239,                0.97997,                0.98095,                0.80398,                0.77916,                0.31104,                 1.0345,               0.001783,               0.001783,               0.001783
                     85,                0.58057,                0.38145,                0.94287,                0.98478,                 0.9473,                0.96177,                0.79003,                0.79582,                0.31569,                  1.043,               0.001684,               0.001684,               0.001684
                     86,                0.57747,                 0.3713,                0.93779,                0.98461,                 0.9474,                0.95819,                0.78682,                0.78635,                0.31081,                 1.0389,               0.001585,               0.001585,               0.001585
                     87,                0.57109,                0.36966,                 0.9339,                0.94936,                0.98164,                0.97998,                0.80731,                0.76863,                0.30906,                 1.0312,               0.001486,               0.001486,               0.001486
                     88,                0.57495,                0.37068,                0.93843,                0.98432,                0.94783,                0.96909,                0.79596,                0.78423,                0.31266,                 1.0369,               0.001387,               0.001387,               0.001387
                     89,                0.56394,                0.36403,                0.93138,                0.96186,                0.97875,                0.97733,                0.80199,                0.78321,                 0.3116,                 1.0398,               0.001288,               0.001288,               0.001288
                     90,                0.56284,                0.36488,                0.93276,                0.93041,                0.98102,                0.96728,                0.79611,                 0.7729,                0.30738,                 1.0318,               0.001189,               0.001189,               0.001189
                     91,                0.56121,                0.36504,                0.93226,                0.95083,                   0.98,                0.97813,                0.80201,                0.77436,                0.30942,                  1.034,                0.00109,                0.00109,                0.00109
                     92,                0.56065,                0.36587,                0.93344,                0.98498,                0.94694,                0.96495,                0.79336,                0.76859,                0.30764,                 1.0325,               0.000991,               0.000991,               0.000991
                     93,                0.56036,                0.36093,                0.93224,                0.94034,                0.98134,                 0.9778,                0.80311,                0.76757,                0.30676,                 1.0316,               0.000892,               0.000892,               0.000892
                     94,                0.55765,                0.35874,                0.93134,                0.95827,                0.98093,                0.97751,                0.80147,                0.76739,                0.30908,                 1.0326,               0.000793,               0.000793,               0.000793
                     95,                0.55293,                0.36068,                0.92882,                0.95853,                0.98115,                0.97768,                0.80057,                0.76835,                0.30723,                 1.0332,               0.000694,               0.000694,               0.000694
                     96,                0.55082,                0.36043,                 0.9288,                0.93034,                 0.9826,                0.97883,                0.80532,                0.76244,                 0.3053,                 1.0315,               0.000595,               0.000595,               0.000595
                     97,                0.55249,                0.36171,                0.92863,                0.98437,                0.94548,                0.96571,                0.79587,                0.76916,                0.30733,                 1.0331,               0.000496,               0.000496,               0.000496
                     98,                0.54651,                0.35352,                0.92726,                0.98339,                0.94609,                0.96391,                0.79573,                0.76383,                0.30698,                 1.0313,               0.000397,               0.000397,               0.000397
                     99,                0.54321,                0.34926,                0.92374,                0.98434,                0.94661,                0.96649,                0.79641,                0.76452,                0.30646,                 1.0291,               0.000298,               0.000298,               0.000298
